MENUID,MENUTITLE,MENUPARENT,MENULEVEL,MENUORDER
1881,"Report Of Petty Cash Recoup",1880,3,1
1828,"Vendor Profile",1922,3,1
1939,Bendahari,1938,3,1
1882,"GL Opening",1950,3,1
1968,"Total Allocation, Expenditure and Balance of Allocation",1966,3,1
3457,"Laporan Belanjawan",1966,3,1
3558,"Payment Record",1969,3,1
1622,"Asset Depreciation Process",1975,3,1
1647,"Disposal Application",1976,3,1
3531,"Report KewPa",1991,3,1
2046,"New Application",2045,3,1
2059,"New Application",2058,3,1
2102,"GCR Listing",2101,3,1
2115,"List of Budget",2114,3,1
2682,"Loan Profile",2141,3,1
2158,Application,2157,3,1
1551,"Fund Type",2210,3,1
2330,"List of Fund Type",2211,3,1
2280,"Entry Form Unidentified Receipt",2220,3,1
2269,"Attachment 1 - Baucar Yang Belum Didebitkan oleh Bank",2262,3,1
2277,"Integration - PTJ",2276,3,1
2195,"Outstanding Invoice",2312,3,1
2368,Setup,2315,3,1
1771,"New Purchase Requisition",2319,3,1
1716,"Bill Registration",2377,3,1
2479,"Cashbook Closing",2532,3,1
2593,"TP1 Application",2592,3,1
2624,"Good Receive Note",2623,3,1
2657,"Budget Not Exists",2656,3,1
2673,"Allocation Receive Log",2672,3,1
2680,"Advance Payment",2677,3,1
2690,Reminder,2679,3,1
2721,"Advertisement Request List",2822,3,1
2809,"Laporan  LPPM JPKA: KPT",2852,3,1
2868,"New Application",2867,3,1
2878,"Send Email",2877,3,1
2848,"New Variation Order (VO)",2884,3,1
2949,"List Assign",2947,3,1
3026,"Yearly Closing Process",3085,3,1
2937,"Offer Student ",3093,3,1
3198,"List of Currency",3197,3,1
3226,"New Application ",3225,3,1
3242,"Credit Note Form",3241,3,1
1840,"Work Progress Note List",3250,3,1
3254,"Journal Revaluation Process",3253,3,1
2127,"Reconciliation Daily",3255,3,1
3270,"List of Money Transfer",3269,3,1
3312,"List of Investments",3311,3,1
3322,"List of VO",3321,3,1
-3411,"Prestasi Perbelanjaan",3403,3,1
3414,"Setup Belanja Mengikut Segmen",3421,3,1
3440,"Kew.8 List of Staff",3442,3,1
3460,"Treatment Ledger by Clinic",3459,3,1
3487,"Combine Report",3463,3,1
3469,"Damage Report",3468,3,1
3495,"Movement List",3494,3,1
3504,"Asset Lost Listing",3503,3,1
3526,"Update Bank Account and Factoring for Bill",3525,3,1
2544,"Asset Transfer Request (Outside PTJ)",3530,3,1
3543,"Debit Note Listing",3542,3,1
1339,"Import Data Insurance",1032,3,2
1598,"Entry Form",1044,3,2
2370,"Offline Receipt Application Form",1047,3,2
1058,"Fee Category",1059,3,2
1257,"Fee Structure",1061,3,2
1616,"Loan Application",1130,3,2
1998,Manage,1136,3,2
1507,PTPTN,1149,3,2
3015,"New Application",1152,3,2
1993,"List of Emergency Fund",1174,3,2
1260,"Payroll Process",1250,3,2
1284,"CN - Report Listing General",1263,3,2
1796,"Budget Code",1293,3,2
2308,"EC Account Code",1359,3,2
1465,"Generate Letter for Withdraw",1414,3,2
1441,"Employer Account Info",1436,3,2
3328,"Staff Prefix",1461,3,2
1480,"Penyata Saraan dan Potongan",1481,3,2
1528,"Petty Cash Personnel",1526,3,2
1677,LookUp,1549,3,2
1663,"Execution & Enforcement",1664,3,2
1665,"Bucket Ageing",1664,3,2
2366,"Statement of Account (SOA)",1736,3,2
1789,"Discount Policy Details",1786,3,2
3461,"Direct Voucher",1818,3,2
1829,"Item Main Listing",1819,3,2
1850,"List Of Allowance And Deduction",1854,3,2
2099,"Listing Of Bank Statement",1869,3,2
2663,"List of Vendor",1922,3,2
1941,PTJ,1938,3,2
1628,"Asset Depreciation Accrual",1975,3,2
2397,"Disposal Application Listing",1976,3,2
2774,"Asset Movement Report",1991,3,2
3064,"Auditor Asset Listing",1991,3,2
2053,"List of Refund Application",2045,3,2
1833,"Purchase Order List",2048,3,2
2060,"List of Refund Application",2058,3,2
2103,Setup,2101,3,2
2110,"New Budget",2114,3,2
2683,"Loan Disburse",2141,3,2
2159,"Listing Application",2157,3,2
1566,"Activity Code",2210,3,2
1874,"List of Activity Code",2211,3,2
2221,"List of Unidentified Receipt",2220,3,2
2264,"Attachment 2 - Penerimaan Yang Belum DiKreditkan Oleh Bank",2262,3,2
2278,"Integration - Cost center",2276,3,2
2667,"Subsidiary Statement",2292,3,2
2279,Receipt,2312,3,2
2342,"Activity Advance Application",2315,3,2
2107,"Bill Registration Cancellation @ Knockoff",2377,3,2
2542,"Master File",2532,3,2
2556,"List of Students",2557,3,2
2594,"List of Application",2592,3,2
2626,"Work Progress Note",2623,3,2
2285,"Refund (Staff)",2678,3,2
2618,"New Tender/Quotation",2822,3,2
2333,"Committe & Participant",2826,3,2
2810,"Laporan Perolehan PTJ JPKA: LPPM",2852,3,2
2915,"List of Application",2867,3,2
2879,"Historical Sender",2877,3,2
3320,"List of Agreement",2883,3,2
2846,"List of Variation Order (VO)",2884,3,2
3086,"Journal Adjustment Listing",3085,3,2
2802,"Manual Update ",3093,3,2
3199,"AG Rate",3197,3,2
3231,"List of Draft Application",3225,3,2
3243,"Credit Note Listing",3241,3,2
1838,"Work Progress Note Detail",3250,3,2
2242,"Reconciliation Monthly",3255,3,2
3313,"Journal Details",3311,3,2
3323,"New Variation Order (VO)",3321,3,2
3472,"Treatment Ledger by Year",3459,3,2
3491,"Preventive Maintenance ",3468,3,2
3496,"Movement Application",3494,3,2
3505,"Asset Lost  Application",3503,3,2
3529,"Update Bank Account and Factoring for Voucher",3525,3,2
2543,"Asset Transfer Listing",3530,3,2
3548,"Debit Note Form",3542,3,2
1581,"My Request",1040,3,3
1278,"CN Form - En Masri",1061,3,3
2017,"Loan Application (Special Case)",1130,3,3
1194,"Work Order Instruction",1135,3,3
1025,Profile,1149,3,3
1150,"PTPTN (Masri)",1149,3,3
1157,"List of Petty Cash",1152,3,3
2768,"List of Emergency Fund (Verify)",1174,3,3
1518,"Payroll Calculation (Temp)",1250,3,3
1285,"DN - Report Listing General",1263,3,3
1294,Allocation,1293,3,3
2112,"EC Process",1359,3,3
3268,"Generate Instruction Letter / Cadangan Pelaburan",1414,3,3
1442,"Income Type",1436,3,3
1462,"Status Staff",1461,3,3
1888,"Crediting To Bank",1481,3,3
1499,"List of Investments Withdrawal",1497,3,3
1656,"Cheque Release",1655,3,3
1835,GRN,1668,3,3
2297,"Voucher Listing",1818,3,3
1820,"Item Main",1819,3,3
1845,"Allowance And Deduction Bulks",1854,3,3
1871,"List Of Bank Statement Upload",1869,3,3
2417,"Laporan Baucar Panjar Wang Runcit",1880,3,3
3428,"Trial Balance Summary",1950,3,3
1986,"Payee List Report ",1969,3,3
1683,"Asset Depreciation Listing",1975,3,3
2495,"Asset Disposal Registration",1976,3,3
2039,"List of Purchase Order Cancellation",2048,3,3
2136,GCR,2101,3,3
2295,"PTJ Code",2210,3,3
1886,"List of PTJ Code",2211,3,3
2225,"Manual Journal Entry",2220,3,3
2263,"Attachment 3 - Senarai Debit/Kredit Dalam Penyata Bank Yang Tiada Dalam Buku Tunai",2262,3,3
2443,"Integration - Profile",2276,3,3
3379,"Subsidiary Ledger",2292,3,3
2282,"Credit Note",2312,3,3
2536,"Advance Declaration",2315,3,3
1773,"Purchase Requisition List",2319,3,3
2553,"List of Cashbook (Monthly)",2532,3,3
2601,"Release Registration Fee for New Student (Offered)",2557,3,3
2963,"Project Monitoring",2672,3,3
2627,"Advance Monitoring",2677,3,3
2828,"Duration Tender/Quotation",2822,3,3
3272,Evaluation,2826,3,3
3087,"Journal Adjustment Form",3085,3,3
3232,"List of Rejected Application",3225,3,3
3264,"Credit Note Cancellation",3241,3,3
2082,"Work Progress Note Cancel",3250,3,3
3256,"Unmatched Matching Record",3255,3,3
3346,"Generate Voucher Draft",3269,3,3
3426,"Pengurusan Perakaunan",3403,3,3
3449,"List of Kew 8 form",3442,3,3
3475,"Treatment Statement by Staff",3459,3,3
3582,"Report Item Setup",3463,3,3
