MENUID,MENUTITLE,MENUPARENT,MENULEVEL,MENUORDER
2913,"Income Type List",1481,3,21
2834,"CN Policy by Event",1059,3,22
2819,"Loan Stop Accrual",1130,3,22
1811," List Of Graduate Student Debt By Year",1263,3,22
2926,"Laporan Keberhutangan Staff",1481,3,22
2840,"CN Policy by Event Form",1059,3,23
3290,"Update Loan Payment",1130,3,23
1812,"Report Of International Student Debt ",1263,3,23
1814,"Student Debt List",1263,3,25
3337,Perjawatan,1481,3,25
3335,"Senarai Tuntutan Elaun Lebih Masa",1481,3,26
1816,"List of Students Inasis Students (Inasis)",1263,3,27
3336,"Laporan Kod Elaun / Potongan",1481,3,27
1918,"List of Student by Sponsor",1263,3,34
1954,"Report of Student Debt by Sponsor",1263,3,44
1923,"List of Student Without Sponsor Invoice",1263,3,47
2437,"List of Student C1330/C12154",1263,3,48
2622,"Student Hostel History",1263,3,49
2528,"List of Cheque Release",1655,3,61
1720,"Cheque List",1655,3,119
2064,"Bill Payment Data From Bank",1263,3,123
2100,"Listing Of Bank Statement",2061,3,123
2139,"List of Vehicle Information",2138,3,123
1916,"List of Sponsor",1263,3,124
2026,"Semakan Pindaan Bill Payment/Presentment ke (Hutang Pelajar/ Pemiutang Pelajar C1330 /Hasil PTJ) - By Batch",1263,3,124
2029,"Semakan Pindaan Bill Payment/Presentment ke (Hutang Pelajar/ Pemiutang Pelajar C1330 /Hasil PTJ) - By  Date",1263,3,124
2117,"Invoice Structure",1786,3,124
2094,"List Of Bank Statement Upload",2061,3,124
1957,"Staff Overtime Hierarchy",2092,3,124
1949,"Report of Invoice by Student",1263,3,125
1956,"Summary Report of Total Sponsorship",1263,3,125
2008," Report Data Listing",1263,3,125
2085,"Good Receive Note Cancel",2087,3,125
2411,"Report of Identified Receipts",2220,3,125
1924,"List of Claim by Sponsor",1263,3,126
1965,"CN - Deferment Report",1263,3,126
1984,"List Of New Registered Student",1263,3,126
1988,"CN Data Listing",1263,3,126
2010,"List of Bill Payment/Presentment Batch",1263,3,126
1303,"New Application",2342,4,1
1368,"EC Summary CP8C",1367,4,1
1485,"Payroll Process Daily",1518,4,1
1562,Location,1677,4,1
1564,"Asset Dispose Method",1561,4,1
1849,"EFT Preparation",1848,4,1
2105,"GCR Calculate",2136,4,1
2154,Type,2153,4,1
2327,"Listing Reject",2326,4,1
2404,"Advance Personnel",2368,4,1
2421,"Advance Staff (Admin)",2344,4,1
2426,"Warrant Initial",3423,4,1
2552,"New of Application Waqaf/Zakat Deduction",3023,4,1
2589,"Kew Pa 1 - Penerimaan Aset",3531,4,1
2647,"Senarai Tempoh Masa LPO 			",2810,4,1
2702,Admin,2285,4,1
2718,Preparation,2763,4,1
3010,"Calculation of Commission ",3018,4,1
3285,"Book Cheque Setup",1287,4,1
3370,"Creditor Ageing Summary",3369,4,1
3380,"Individual Subsidiary Ledger",3379,4,1
3391,"Asset Disposal (Inbound)",3390,4,1
3394,"Budget Summary By Account Code (WBR072)",3425,4,1
3408,"Budget Summary By PTJ (WBR071)",3424,4,1
3451,"List to Transfer",3450,4,1
3481,"Damage Asset Application",3469,4,1
3483,"Staff Approved Overtime",1998,4,1
3492,"Preventive Maintenance Listing ",3491,4,1
3498,"Corrective Maintenance List",3497,4,1
3511,"Book Cheque Setup By Fund",1287,4,1
1200,"List of Activity Advance Application",2342,4,2
1369,"EC Summary CP8D",1367,4,2
1791,Others,2022,4,2
1852,"Batching EFT",1848,4,2
1980,"Staff Overtime Claim",1998,4,2
2137,"List of GCR",2136,4,2
2145,Staff,2690,4,2
2155,Category,2153,4,2
2307,"Reject/Replace Payment",2326,4,2
2429,"Warrant Increment",3423,4,2
2537,"List of Advance Declaration Application",2536,4,2
2597,"Kew Pa 2 - Penolakan Aset",3531,4,2
2625,"Perolehan Melalui Kontrak Pusat & Kontrak Pusat Sistem Panel	",2809,4,2
2746,"Location Listing",1677,4,2
2755,"Update Reference",2763,4,2
2758,"Allocation, Expenditure & Balance of Allocation by Budget Code",3425,4,2
2814,"Laporan Keseluruhan Perolehan				",2810,4,2
3011,"Commission to be Paid",3018,4,2
3022,"List of Application Waqaf / Zakat Deduction",3023,4,2
3033,"No of Days GCR",2103,4,2
3118,"Disposal Secretariat Setup",1561,4,2
3239,"Variation Report (WBR074)",3424,4,2
3283,"Cheque Processing",1287,4,2
3381,"All Subsidiary Ledger",3379,4,2
3427,"Grant Application by Type",3296,4,2
3448,"Advance Ageing Summary (> 6 Years)",3407,4,2
3452,"List Transferred ",3450,4,2
3470,"Damage Report List",3469,4,2
3493,"Preventive Maintenance Form",3491,4,2
3499,"Corrective Maintenance Form",3497,4,2
3518,"Process And Print Bank Cheque",1287,4,2
1563,"Item LIsting",1677,4,3
1645,"Asset Account Setup",1561,4,3
1855,"Payment Batch Form",1848,4,3
1992,"Kew Pa 3 - Pendaftaran Aset",3531,4,3
1999,"Staff Collected Hours",1998,4,3
2120,Others,2690,4,3
2430,"Warrant Decrement",3423,4,3
2604,"List of Refund Portal",2285,4,3
2640,PWR,2344,4,3
2777,"Batch Listing",2763,4,3
3288,"Bank Cheque To Print or To Cancel",1287,4,3
3300,"ABM Justfikasi",3296,4,3
3360,"List of Paid GCR",2136,4,3
3409,"Advance Listing",3407,4,3
3445,"Creditor Ageing Summary ( > 6 Years )",3369,4,3
3447,"Debtor Ageing Summary ( > 6 Years)",3376,4,3
3502,"Schedule Maintenance Listing",3491,4,3
3517,"Transaction Log",3450,4,3
3519,"Cancel or Post Bank Cheque",1287,4,3
3533,"Batch Listing",1848,4,3
1861,"Payment Batch List",1848,4,4
1996,"Kew Pa 4 - Pendaftaran Inventori",3531,4,4
2289,"List Of Refund Bill",2285,4,4
2422,"Journal Payment Reject/Replace",2326,4,4
2433,"Warrant Virement",3423,4,4
2455,"Depreciation Group",1561,4,4
2619,"Manual Journal",2536,4,4
3137,"Staff Roster Schedule ",1998,4,4
3284,"Quotation Review",1616,4,4
3291,"Approved Bank Cheque",1287,4,4
3298,"ABM 4",3296,4,4
3371,"Creditor Ageing Details",3369,4,4
3384,"Vot Book Report (WBR051)",3424,4,4
3411,"Disabled Screen",2368,4,4
3437,"Listing Approved Batching EPY",1904,4,4
3443,"Creditor Ageing Details( > 6 Years)",3369,4,4
3446,"Debtor Ageing Details ( > 6 Years )",3376,4,4
2290,"Report of Refund Bill",2285,4,5
2463,Paid,2344,4,5
2483,"Depreciation Setup (Tanah)",1561,4,5
2595,"Kew Pa 5 - Senarai Daftar Aset",3531,4,5
3065,"Rejected Overtime Claim",1998,4,5
3297,"ABM 5",3296,4,5
3375,"Creditor AP Listing",3369,4,5
3522,"Collected Cheque",1287,4,5
2466,Accrual,2344,4,6
2538,"List of Advance Declaration Application (Admin)",2536,4,6
2596,"Kew Pa 6 - Senarai Daftar Inventori",3531,4,6
2789,Advance,2690,4,6
3299,"ABM 7",3296,4,6
3353,"Input Roster Schedule",1998,4,6
2007,"Kew Pa 7 - Senarai Aset Alih Mengikut Ruang",3531,4,7
2293,"Item Main",1561,4,7
2689,Loan,2690,4,7
2711,Recoupment,2344,4,7
2960,"List of Advance Declaration Application (Checker)",2536,4,7
3308,"Lampiran ABM 7",3296,4,7
3357,"Input Shift Day Off",1998,4,7
2324,"List of Advance",2344,4,8
2781,"Kew Pa 8 -  Laporan Kedudukan Semasa Aset Alih",3531,4,8
3148,"Role Listing",1561,4,8
3358,"Staff Shift Day Off",1998,4,8
2325,"Advance Staff (Generate Bill) ",2344,4,9
2610,"Kew Pa 9 - Borang Permohonan Pergerakan/Pinjaman Aset Alih",3531,4,9
2669,"Successful Generated Reminder",2690,4,9
3338,"Asset Deprecition Scheduler Setup",1561,4,9
2343,"List of Activity Advance (Unblock)",2344,4,10
3471,"Asset Verification Officer",1561,4,10
3500,"Kew Pa 10 - Borang Aduan Kerosakan Aset Alih",3531,4,10
2517,"Kew Pa 11 - Borang Pemeriksaan Aset",3531,4,11
3331,"Loan Balance Confirmation",1616,4,11
3527,"Transfer Cheque List",1287,4,11
2473,"Received Recoup Amount",2344,4,12
2643,"Kew Pa 12 - Laporan Pemeriksaan Aset Mengikut Suku Tahun",3531,4,12
3342,"Full Settlement Amount",1616,4,12
3536,"Cheque Payment List",1287,4,12
2782,"Kew Pa 13 - Sijil Tahunan Pemeriksaan Aset Alih",3531,4,13
2611,"Kew Pa 14 - Senarai Aset Alih Kerajaan Yang Memerlukan Penyelenggaraan Berjadual",3531,4,14
2832,"List of Advance (Checker)",2344,4,14
2612,"Kew Pa 15 - Rekod Penyelenggaraan Aset Alih",3531,4,15
3486,"Kew Pa 16 - Laporan Penyelenggaraan Aset Alih",3531,4,16
2705,"Kew Pa 17 - Borang Pindahan Aset Alih",3531,4,17
2783,"Kew Pa 18 - Laporan Pindahan Aset Alih",3531,4,18
2550,"Kew Pa 19 - Borang Perakuan Lupus (Teknikal)",3531,4,19
2566,"Kew Pa 20 - Borang Lantikan Lembaga Pemeriksa",3531,4,20
2551,"Kew Pa 21 - Borang Pelupusan",3531,4,21
2567,"KewPa 22 - Sijil Penyaksian Pelupusan",3531,4,22
2577,"Kew Pa 23 - Sijil Pelupusan",3531,4,23
2854,"Kew Pa 25 - Borang Tender Pelupusan Aset Alih",3531,4,25
2857,"Kew Pa 27 - Kenyataan Tawaran Sebut Harga Pelupusan Aset Alih",3531,4,27
2859,"Kew Pa 29 - Jadual Sebut Harga Pelupusan Aset Alih",3531,4,29
2861,"Kew Pa 31- Senarai Aset Alih Yang Dilelong",3531,4,31
2784,"Kew Pa 32 - Laporan Pelupusan Aset Alih",3531,4,32
3515,"Kew Pa 33 - LAPORAN AWAL KEHILANGAN ASET ALIH",3531,4,33
3512,"Kew Pa 34 - PELANTIKAN JAWATANKUASA PENYIASAT KEHILANGAN ASET ALIH",3531,4,34
3513,"Kew Pa 35 - LAPORAN AKHIR KEHILANGAN ASET ALIH",3531,4,35
2988,"Kew Pa 36 - Sijil Hapus Kira Aset",3531,4,36
3514,"Kew Pa 37 - LAPORAN HAPUS KIRA ASET ALIH",3531,4,37
2497,BRF,2496,4,61
2529,"PRAISI Covid-19",1367,4,61
2527,PRAISI,1367,4,62
1940,"Transfer Date",1848,4,123
2373,"Cash Advance Type",2368,4,124
2369,"Payment Method",2368,4,125
2230,"Reminder 1",2145,5,1
2286,"Refund Application",2702,5,1
2425,"Recoupment (Batch)",2711,5,1
2231,"Reminder 2",2145,5,2
2287,"List of Refund",2702,5,2
2715,"Generate Bill Recoupment",2711,5,2
2791,"Reminder 1",2789,5,2
2713,"Recoup Form",2711,5,3
2792,"Reminder 2",2789,5,3
2232,"Reminder 3",2145,5,4
2452,"List of Recoupment",2711,5,5
2457,Report,2145,5,5
2760,"Staff Advance Cashbook Report",2711,5,6
2131,"List Of Outstanding",2230,6,1
2132,"List of Reminder",2231,6,1
2133,"List of Reminder",2232,6,1
2793,"List of Reminder",2791,6,1
2795,"List of Reminder",2792,6,1
2266,"Generated Reminder",2231,6,2
2268,"Generated Reminder",2232,6,2
2794,"Generated Reminder",2791,6,2
2796,"Generated Reminder",2792,6,2
2250,"Generated Reminder",2230,6,3
2869,"Successful Generated Reminder",2457,6,3
2256,"By Email",2132,7,1
2259,"By Email",2133,7,1
2257,"By Post",2132,7,2
2258,"By Post",2133,7,2
